compound_id,std_smiles,inchikey,scaffold,generic_scaffold,mw,logp,tpsa,hbd,hba,rotbonds,rings,aromatic_rings,heavy_atoms,fsp3,qed,is_pains,pIC50_func_CHEMBL233,pIC50_func_CHEMBL233_relation,pIC50_func_CHEMBL237,pIC50_func_CHEMBL237_relation,pEC50_CHEMBL233,pEC50_CHEMBL233_relation,pEC50_CHEMBL236,pEC50_CHEMBL236_relation,pAC50_CHEMBL233,pAC50_CHEMBL233_relation,pAC50_CHEMBL236,pAC50_CHEMBL236_relation,pEC50_CHEMBL237,pEC50_CHEMBL237_relation,pAC50_CHEMBL237,pAC50_CHEMBL237_relation,pIC50_func_CHEMBL2014,pIC50_func_CHEMBL2014_relation,pIC50_func_CHEMBL236,pIC50_func_CHEMBL236_relation,pEC50_CHEMBL2014,pEC50_CHEMBL2014_relation
BDBM:50365463,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,AAAQFGUYHFJNHI-SFHVURJKSA-N,c1ccc(C2=NCc3nncn3-c3ccccc32)cc1,C1CCC(C2CCC3CCCC3C3CCCCC23)CC1,423.9,3.66,81.4,1,5,5,4,3,30,0.273,0.679,False,4.0,upper_bound,4.0,upper_bound,,,,,,,,,,,,,,,,,,
PUBCHEM:46943432,CCNC(=O)CC1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,AAAQFGUYHFJNHI-UHFFFAOYSA-N,c1ccc(C2=NCc3nncn3-c3ccccc32)cc1,C1CCC(C2CCC3CCCC3C3CCCCC23)CC1,423.9,3.66,81.4,1,5,5,4,3,30,0.273,0.679,False,4.0,exact,4.0,exact,,,,,,,,,,,,,,,,,,
CHEMBL5079310,CCC(=O)N(CC1(N2CCN(CC(C)(C)O)CC2)CCOCC1)c1cccc(C(F)(F)F)n1,AAFPGACSSOSLPD-UHFFFAOYSA-N,c1ccc(NCC2(N3CCNCC3)CCOCC2)nc1,C1CCC(CCC2(C3CCCCC3)CCCCC2)CC1,472.55,2.78,69.1,1,6,7,3,1,33,0.739,0.658,False,,,,,6.061,exact,,,,,,,,,,,,,,,,
PUBCHEM:44202221,COc1ccc2sc(-c3ccc(S(C)(=O)=O)cc3)c(C#Cc3cncn3C)c2c1,AAHMFTBCVJDHBJ-UHFFFAOYSA-N,C(#Cc1c(-c2ccccc2)sc2ccccc12)c1cnc[nH]1,C1CCC(C2CC3CCCCC3C2CCC2CCCC2)CC1,422.53,4.11,61.2,0,5,3,4,4,29,0.136,0.466,False,,,,,4.034,exact,4.034,exact,,,,,,,,,,,,,,
CHEMBL553,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,AAKJLRGGTJKAMG-UHFFFAOYSA-N,c1ccc(Nc2ncnc3ccccc23)cc1,C1CCC(CC2CCCC3CCCCC32)CC1,393.44,3.41,74.7,1,7,10,3,3,29,0.273,0.418,False,,,,,,,,,4.7849,exact,4.5229,exact,,,,,,,,,,
CHEMBL4091098,COc1ccccc1C(=O)NCC1NCCc2ccccc21,AAKKIGLXYOMAHQ-UHFFFAOYSA-N,O=C(NCC1NCCc2ccccc21)c1ccccc1,CC(CCC1CCCC2CCCCC21)C1CCCCC1,296.37,2.31,50.4,2,3,4,3,2,22,0.278,0.91,False,,,,,5.4802,exact,,,,,,,,,,,,,,,,
BDBM:50456639,C[C@@]12C[C@H](c3ccoc3)OC(=O)C1CC[C@]1(C)[C@H]2[C@H]2C=C[C@]1(O)C(=O)O2,AALLCALQGXXWNA-FOBXGHKDSA-N,O=C1O[C@@H]2C=CC1C1CCC3C(=O)O[C@@H](c4ccoc4)CC3[C@@H]12,CC1CC2CCC1C1CCC3C(C)CC(C4CCCC4)CC3C21,358.39,2.53,86.0,1,6,1,6,1,26,0.6,0.613,False,,,,,,,,,,,,,4.301,upper_bound,,,,,,,,
PUBCHEM:3016,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,AAOVKJBEBIDNHE-UHFFFAOYSA-N,O=C1CN=C(c2ccccc2)c2ccccc2N1,CC1CCC(C2CCCCC2)C2CCCCC2C1,284.75,3.15,32.7,0,2,1,3,2,20,0.125,0.792,False,,,,,,,,,5.0,exact,4.5229,exact,,,5.6492,exact,,,,,,
PUBCHEM:2431,CC[N+](C)(C)Cc1ccccc1Br,AAQOQKQBGPPFNS-UHFFFAOYSA-N,c1ccccc1,C1CCCCC1,243.17,3.05,0.0,0,0,3,1,1,13,0.455,0.716,False,,,,,,,,,4.5229,exact,4.5229,exact,,,4.5229,exact,,,,,,
BDBM:601129,CN(C)[C@H](CNC(=O)C[C@H](CC1CCC1)c1ccccc1)Cc1ccc(C(N)=O)cc1,AAVAKDLHJSSLAG-ZEQRLZLVSA-N,O=C(C[C@H](CC1CCC1)c1ccccc1)NCCCc1ccccc1,CC(CCCCC1CCCCC1)CC(CC1CCC1)C1CCCCC1,421.59,3.74,75.4,2,3,11,3,2,31,0.462,0.58,False,5.5229,upper_bound,5.5229,upper_bound,,,5.5229,upper_bound,,,,,,,,,,,,,,
PUBCHEM:31378,CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F,AAXVEMMRQDVLJB-UHFFFAOYSA-N,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,CC1CCC2C(CCC3C4CCCC4CCC23)C1,380.46,1.87,94.8,3,5,2,4,0,27,0.81,0.68,False,,,,,,,,,4.5229,exact,4.5229,exact,,,5.0,exact,,,,,,
